Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,7.490000,7.607000,7.426000,7.497000,4.738397,76688314
2018-11-19,7.507000,7.574000,7.278000,7.334000,4.635374,97527515
2018-11-26,7.407000,7.942000,7.407000,7.928000,5.010805,172445416
2018-12-03,8.045000,8.059000,7.563000,7.680000,4.854059,330446795
2018-12-10,7.641000,7.930000,7.520000,7.791000,4.924216,211749057
2018-12-17,7.800000,7.915000,7.374000,7.491000,4.734603,628973805
2018-12-24,7.406000,7.440000,7.222000,7.378000,4.785464,52135660
2018-12-31,7.374000,7.699000,7.227000,7.627000,4.946970,53987824
2019-01-07,7.660000,7.752000,7.511000,7.670000,4.974860,78061973
2019-01-14,7.627000,7.716000,7.524000,7.687000,4.985886,73190306
2019-01-21,7.669000,7.798000,7.606000,7.714000,5.003398,66508429
2019-01-28,7.701000,7.753000,7.446000,7.526000,4.881460,75148228
2019-02-04,7.535000,7.650000,7.236000,7.307000,4.739413,67367379
2019-02-11,7.335000,7.512000,7.300000,7.500000,4.864595,56104832
2019-02-18,7.516000,7.838000,7.504000,7.768000,5.038424,77344185
2019-02-25,7.770000,7.828000,7.471000,7.479000,4.850975,69821203
2019-03-04,7.521000,7.677000,7.410000,7.576000,4.913890,69102463
2019-03-11,7.619000,7.825000,7.530000,7.811000,5.066314,89941614
2019-03-18,7.815000,7.900000,7.600000,7.600000,4.929457,60308951
2019-03-25,7.591000,7.643000,7.330000,7.469000,4.844489,60386111
2019-04-01,7.478000,7.650000,7.420000,7.508000,4.869784,70938403
2019-04-08,7.490000,7.502000,7.363000,7.432000,4.820490,65443739
2019-04-15,7.450000,7.536000,7.391000,7.508000,4.869784,44095748
2019-04-22,7.508000,7.508000,7.301000,7.463000,4.840597,45671522
2019-04-29,7.450000,7.510000,7.260000,7.293000,4.730332,53296286
2019-05-06,7.229000,7.347000,7.000000,7.107000,4.609690,84594462
2019-05-13,7.120000,7.233000,6.975000,7.176000,4.654445,79157260
2019-05-20,7.177000,7.256000,7.142000,7.204000,4.672606,59117333
2019-05-27,7.223000,7.286000,7.131000,7.178000,4.655742,46690449
2019-06-03,7.133000,7.472000,7.095000,7.470000,4.845138,409113385
2019-06-10,7.490000,7.592000,7.418000,7.444000,4.828273,133263270
2019-06-17,7.470000,7.493000,7.200000,7.264000,4.711523,435656456
2019-06-24,7.291000,7.322000,7.150000,7.221000,4.814023,125281167
2019-07-01,7.280000,7.482000,7.212000,7.394000,4.929357,56681981
2019-07-08,7.390000,7.465000,7.380000,7.393000,4.928690,71507236
2019-07-15,7.400000,7.445000,7.214000,7.244000,4.829356,72291441
2019-07-22,7.244000,7.380000,7.000000,7.058000,4.705356,64685998
2019-07-29,7.059000,7.174000,6.744000,6.775000,4.516689,70678874
2019-08-05,6.715000,6.804000,6.314000,6.345000,4.230020,88097084
2019-08-12,6.378000,6.382000,5.861000,6.006000,4.004019,103964820
2019-08-19,6.052000,6.130000,5.939000,5.939000,3.959352,70707800
2019-08-26,5.930000,6.325000,5.915000,6.301000,4.200686,91596664
2019-09-02,6.301000,6.621000,6.301000,6.582000,4.388021,86006630
2019-09-09,6.575000,6.807000,6.575000,6.789000,4.526021,104838193
2019-09-16,6.769000,6.912000,6.628000,6.912000,4.608023,120253066
