country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,40M,56M,64M,40M,56M,91M,198M,230M,145M,92M,9M,149M,124M,,,90M,230M,75M,281M,360M,352M,382M,294M,236M,368M,153M,287M,561M,1.05B,2.15B,1.87B,1.41B,,,,,,,,,,,34M,,,35M,3M,41M,150M,344M,377M,661M,523M,235M,288M,116M,174M,252M,349M,382M,227M
Angola,,,,,,,,,,,,,,,1M,241M,181M,105M,146M,111M,153M,241M,381M,574M,479M,528M,703M,1.19B,965M,152M,141M,,,122M,111M,1M,44M,7M,150M,358M,147M,156M,148M,48M,8M,39M,7M,31M,29M,20M,,,,30M,2M,47M,152M,110M,272M,169M,42M
Albania,57M,74M,42M,12M,8M,140M,74M,163M,265M,297M,250M,332M,134M,104M,134M,53M,5M,7M,5M,,,,,,,,,,,,,,,,,26M,,,,,,,,2M,,7M,,5M,,,,,15M,7M,7M,7M,,4M,2M,5M,
UAE,,,,,,,,,13M,13M,69M,24M,26M,88M,100M,152M,272M,294M,207M,18M,203M,430M,162M,164M,312M,145M,138M,199M,42M,660M,559M,235M,201M,580M,568M,421M,480M,688M,756M,437M,246M,186M,222M,685M,1.22B,2.18B,2.03B,929M,758M,602M,644M,1.24B,1.15B,2.31B,768M,1.22B,956M,966M,1.2B,691M,432M
Argentina,111M,205M,48M,19M,19M,7M,93M,146M,430M,223M,248M,369M,400M,241M,450M,260M,489M,192M,437M,441M,440M,856M,412M,1.32B,680M,447M,226M,226M,74M,14M,169M,,27M,,209M,43M,28M,105M,171M,275M,213M,6M,14M,11M,169M,3M,9M,24M,23M,11M,11M,15M,3M,12M,7M,21M,17M,47M,21M,48M,7M
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2M,181M,47M,70M,,,2M,,,,,118M,,,1M,,46M,52M,5M,,16M,,,110M,18M,,248M,
Australia,113M,40M,571M,384M,548M,920M,714M,778M,460M,828M,240M,319M,60M,704M,885M,96M,81M,268M,1.02B,191M,404M,449M,129M,631M,620M,509M,815M,593M,744M,694M,355M,216M,364M,448M,262M,64M,597M,35M,542M,673M,338M,1.24B,663M,801M,472M,461M,728M,679M,444M,778M,1.51B,1.56B,867M,245M,906M,1.46B,1.03B,1.65B,1.56B,1.18B,1.66B
Austria,16M,27M,56M,201M,73M,78M,61M,47M,1M,12M,99M,123M,93M,22M,22M,6M,12M,,8M,72M,195M,73M,97M,145M,14M,29M,19M,7M,117M,84M,5M,6M,5M,9M,40M,24M,10M,182M,228M,48M,25M,15M,83M,43M,57M,25M,4M,269M,190M,286M,7M,8M,8M,6M,2M,1M,13M,8M,5M,15M,13M
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50M,25M,,,,,,3M,,89M,,4M,53M,159M,213M,33M,145M,155M,557M,371M,385M,624M,335M,274M,290M,365M,44M,29M
Burundi,,,,,,,5M,2M,,3M,,,,0,,,,,,,1M,5M,3M,9M,2M,,,,,6M,6M,,,,,,,,,,,1M,3M,,,,,,,1M,2M,,5M,,,1M,3M,,,,
